CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG
12-012655,27.039,1.866,1.37,0
12-012658,26.108,3.565,1.37,0
12-012663,15.06,3.784,1.37,0
12-012684,13.6,1.155,1.37,0
12-012690,24.802,2.986,1.37,0
12-012696,3.574,1.67,1.37,0
12-012698,17.559,1.221,1.37,0
12-012716,4.438,2.47,1.37,0.03
12-012726,7.125,1.222,1.37,0
12-012728,24.551,4.084,1.37,0
12-012729,21.196,2.406,1.37,0
12-012743,0.216,0.474,1.36,0
12-012765,29.875,2.701,1.36,0
12-012773,27.742,3.935,1.36,0
12-012787,23.469,0.625,1.36,0
12-012793,11.556,3.982,1.36,0
12-012821,7.812,3.278,1.36,0
12-012825,20.833,0.146,1.36,0
12-012834,7.183,4.513,1.36,0
12-012837,21.693,4.539,1.36,0
12-012839,17.619,0.235,1.36,0
12-012840,22.431,2.233,1.36,0
12-012844,17.591,4.679,1.36,0
12-012847,6.777,1.319,1.36,0
12-012855,6.874,1.283,1.36,0
12-012891,22.783,0.132,1.35,0
12-012918,7.316,2.054,1.35,0
12-012919,22.887,3.18,1.35,0
12-012922,20.449,0.434,1.35,0
12-012940,26.055,0.388,1.35,0
12-012941,23.259,2.798,1.35,0
12-012947,5.904,1.839,1.35,0
12-012961,16.622,2.328,1.35,0
12-012966,13.401,3.137,1.35,0
12-012975,26.295,3.374,1.35,0
12-012991,19.899,3.132,1.35,0
12-013000,19.601,1.121,1.35,0
12-013024,12.944,3.013,1.35,0
12-013051,27.854,0.764,1.34,0
12-013070,20.299,2.012,1.34,0
12-013086,18.803,1.795,1.34,0
12-013087,28.183,4.228,1.34,0
12-013090,28.476,3.384,1.34,0
12-013094,15.278,3.228,1.34,0
12-013119,21.205,4.264,1.34,0
12-013137,14.958,4.256,1.34,0
12-013141,10.626,4.244,1.34,0
12-013147,7.369,0.861,1.34,0
12-013154,20.514,1.659,1.34,0
12-013159,24.499,4.784,1.34,0
12-013176,2.463,3.075,1.34,0
12-013178,12.174,2.03,1.34,0
12-013179,18.895,2.191,1.34,0
12-013183,14.035,0.244,1.34,0
12-013195,0.849,4.804,1.34,0
12-013196,28.151,1.732,1.34,0
12-013197,14.425,2.62,1.34,0
12-013213,15.227,0.058,1.33,0
12-013218,15.944,0.486,1.33,0
12-013232,4.199,2.36,1.33,0
12-013245,23.959,4.402,1.33,0
12-013247,23.732,0.706,1.33,0
12-013276,4.317,1.235,1.33,0
12-013281,27.575,2.406,1.33,0
12-013294,19.633,1.676,1.33,0
12-013304,25.269,0.185,1.33,0
12-013305,11.288,1.189,1.33,0
12-013307,8.964,4.52,1.33,0
12-013317,20.237,0.935,1.33,0
12-013320,15.501,4.037,1.33,0
12-013321,25.353,3.292,1.33,0
12-013357,3.331,0.801,1.32,0
12-013395,13.927,2.639,1.32,0
12-013396,20.841,0.365,1.32,0
12-013411,5.494,3.299,1.32,0
12-013431,28.134,4.104,1.32,0
12-013432,20.024,0.693,1.32,0
12-013453,7.732,3.856,1.32,0
12-013462,27.906,2.135,1.32,0
12-013466,22.396,4.259,1.31,0
12-013483,20.172,0.845,1.31,0
12-013486,20.877,0.286,1.31,0
12-013502,14.242,0.376,1.31,0
12-013506,26.002,3.538,1.31,0
12-013509,20.118,3.574,1.31,0
12-013512,22.497,0.231,1.31,0
12-013514,16.524,3.484,1.31,0
12-013529,29.094,1.684,1.31,0
12-013530,16.565,2.226,1.31,0
12-013561,26.079,1.747,1.31,0
12-013574,27.148,1.36,1.31,0
12-013592,20.068,2.974,1.31,0
12-013600,28.367,2.377,1.31,0
12-013622,6.803,3.56,1.3,0
12-013647,18.768,3.716,1.3,0
12-013668,21.094,2.824,1.3,0
12-013675,24.406,1.024,1.3,0
12-013679,8.707,4.696,1.3,0
12-013681,25.987,1.739,1.3,0
12-013700,29.244,4.836,1.3,0
12-013705,19.118,1.745,1.3,0
12-013708,21.222,0.75,1.3,0
12-013731,14.306,4.52,1.3,0
12-013738,20.131,0.559,1.3,0
12-013755,10.584,0.193,1.3,0
12-013761,10.529,2.501,1.3,0
12-013766,1.037,4.356,1.3,0
12-013777,7.06,4.93,1.29,0
12-013784,20.913,3.165,1.29,0
12-013794,4.759,1.63,1.29,0
12-013802,26.714,3.351,1.29,0
12-013811,1.749,0.259,1.29,0
12-013813,27.181,0.58,1.29,0
12-013820,19.416,0.411,1.29,0
12-013843,28.319,4.584,1.29,0
12-013858,28.25,1.661,1.29,0
12-013863,25.018,1.301,1.29,0
12-013872,22.631,0.081,1.29,0
12-013873,28.361,2.521,1.29,0
12-013905,20.961,0.522,1.29,0
12-013917,26.695,1.599,1.28,0
12-013929,10.486,0.959,1.28,0
12-013930,9.208,0.117,1.28,0
12-013931,6.636,1.202,1.28,0
12-013936,21.416,4.91,1.28,0
12-013940,21.002,3.997,1.28,0
12-013941,6.671,1.208,1.28,0
12-013942,19.451,2.635,1.28,0
12-013946,11.143,3.25,1.28,0
12-013951,2.79,0.735,1.28,0
12-013953,20.911,3.053,1.28,0
12-013990,8.776,4.524,1.28,0
12-013993,4.598,1.887,1.28,0
12-013994,19.263,0.145,1.28,0
12-013995,17.834,2.41,1.28,0
12-014000,21.781,2.811,1.28,0
12-014003,22.01,4.497,1.28,0
12-014004,21.61,1.266,1.28,0
12-014012,20.913,0.075,1.28,0
12-014021,24.545,3.928,1.28,0
12-014024,20.365,2.216,1.28,0
12-014025,18.774,0.499,1.28,0
12-014032,13.855,0.275,1.28,0
12-014049,27.389,0.084,1.28,0
12-014058,23.675,3.732,1.28,0
12-014063,15.187,1.381,1.28,0
12-014065,23.348,3.347,1.28,0
12-014068,16.662,0.152,1.28,0
12-014073,22.513,1.133,1.28,0
12-014081,18.535,0.332,1.28,0
12-014092,8.087,0.376,1.27,0
12-014093,22.229,4.858,1.27,0
12-014097,21.615,0.673,1.27,0
12-014106,12.992,4.559,1.27,0
12-014118,22.668,1.12,1.27,0
12-014127,16.477,0.356,1.27,0
12-014128,20.503,2.267,1.27,0
12-014143,10.34,3.921,1.27,0
12-014144,18.977,3.066,1.27,0
12-014145,7.248,3.45,1.27,0
12-014150,3.308,0.814,1.27,0
12-014152,26.687,1.396,1.27,0
12-014159,19.921,3.272,1.27,0
12-014161,22.214,4.114,1.27,0
12-014188,14.753,3.12,1.27,0
12-014193,22.658,4.027,1.27,0
12-014214,26.095,2.224,1.27,0
12-014215,22.243,3.017,1.27,0
12-014221,7.053,1.519,1.27,0
12-014226,27.513,4.772,1.27,0
12-014228,21.536,2.535,1.27,0
12-014229,3.156,1.515,1.27,0
12-014230,23.946,0.845,1.27,0
12-014247,27.965,3.725,1.27,0
12-014248,26.033,2.655,1.27,0
12-014249,8.669,4.812,1.27,0
12-014254,29.824,1.879,1.27,0
12-014259,22.214,3.044,1.26,0
12-014268,14.4,4.937,1.26,0
12-014294,6.467,3.405,1.26,0
12-014299,2.053,4.985,1.26,0
12-014302,1.263,0.291,1.26,0
12-014319,17.324,2.944,1.26,0
12-014322,9.3,3.66,1.26,0
12-014326,21.512,2.376,1.26,0
12-014333,25.776,1.874,1.26,0
12-014342,15.092,4.977,1.26,0
12-014346,19.286,4.052,1.26,0
12-014351,22.401,0.39,1.26,0
12-014358,22.552,4.028,1.26,0
12-014372,10.243,1.399,1.26,0
12-014374,20.73,0.529,1.26,0
12-014381,23.246,2.554,1.26,0
12-014395,17.07,2.042,1.26,0
12-014407,22.5,0.142,1.26,0
12-014412,23.391,2.317,1.26,0
12-014413,18.025,4.242,1.26,0
12-014418,4.492,1.371,1.25,0
12-014427,24.742,1.81,1.25,0
12-014440,22.287,1.385,1.25,0
12-014449,12.992,4.642,1.25,0
12-014450,24.968,2.517,1.25,0
12-014469,25.084,3.888,1.25,0
12-014507,26.71,0.146,1.25,0
12-014513,8.892,1.387,1.25,0
12-014533,21,4.29,1.25,0
12-014536,22.397,4.953,1.25,0
12-014568,26.442,4.554,1.25,0
12-014570,9.44,0.661,1.25,0
12-014577,28.292,2.368,1.25,0
12-014579,2.395,0.089,1.25,0
12-014587,19.256,3.304,1.25,0
12-014614,15.336,2.567,1.24,0
12-014620,8.752,0.484,1.24,0
12-014627,11.814,3.41,1.24,0
12-014638,24.522,3.433,1.24,0
12-014642,18.775,4.4,1.24,0
12-014645,2.977,0.515,1.24,0
12-014664,2.994,2.988,1.24,0
12-014665,26.689,1.032,1.24,0
12-014679,26.115,1.108,1.24,0
12-014691,22.728,2.695,1.24,0
12-014705,6.044,3.362,1.24,0
12-014720,16.869,3.411,1.24,0
12-014737,24.572,2.283,1.24,0
12-014744,7.531,2.311,1.24,0
12-014757,22.901,4.664,1.24,0
12-014763,16.85,1.616,1.24,0
12-014766,25.955,2.846,1.24,0
12-014776,26.157,1.771,1.24,0
12-014788,2.276,0.944,1.23,0
12-014804,4.082,1.744,1.23,0
12-014831,10.732,0.702,1.23,0
12-014832,7.008,1.461,1.23,0
12-014835,26.242,0.08,1.23,0
12-014837,26.294,2.224,1.23,0
12-014842,20.174,0.818,1.23,0
12-014862,28.923,2.561,1.23,0
12-014876,2.782,2.522,1.23,0
12-014886,20.976,2.228,1.23,0
12-014889,29.51,0.743,1.23,0
12-014890,17.767,0.905,1.23,0
12-014894,20.149,0.39,1.23,0
12-014897,21.053,3.098,1.23,0
12-014898,19.463,0.668,1.23,0
12-014900,23.062,4.021,1.23,0
12-014901,19.372,3.022,1.23,0
12-014919,19.535,0.414,1.23,0
12-014928,2.551,3.116,1.23,0
12-014934,19.39,0.409,1.23,0
12-014949,24.742,3.409,1.23,0
12-014951,20.874,2.132,1.23,0
12-014952,13.158,2.595,1.23,0
12-014973,2.363,0.549,1.22,0
12-014974,29.786,2.139,1.22,0
12-014975,20.866,0.157,1.22,0
12-014983,18.681,0.961,1.22,0
12-014984,9.546,0.853,1.22,0
12-014986,11.478,3.634,1.22,0
12-014987,26.601,1.2,1.22,0
12-014995,6.362,1.286,1.22,0
12-015022,10.854,3.966,1.22,0
12-015035,16.148,1.041,1.22,0
12-015071,23.006,3.652,1.22,0
12-015076,20.791,0.337,1.22,0
12-015080,27.57,0.798,1.22,0
12-015085,12.099,4.371,1.22,0
12-015086,4.718,1.091,1.22,0
12-015091,21.676,4.181,1.22,0
12-015096,8.552,4.721,1.22,0
12-015116,28.168,1.915,1.22,0
12-015137,28.778,1.958,1.21,0
12-015148,11.164,3.278,1.21,0
12-015154,15.041,1.26,1.21,0
12-015155,22.406,1.394,1.21,0
12-015159,28.615,1.331,1.21,0
12-015162,27.762,3.718,1.21,0
12-015170,19.341,3.156,1.21,0
12-015184,26.467,4.392,1.21,0
12-015193,21.55,2.909,1.21,0
12-015197,19.299,3.066,1.21,0
12-015207,0.99,4.93,1.21,0
12-015217,7.374,4.464,1.21,0
12-015221,19.355,3.732,1.21,0
12-015229,3.307,1.964,1.21,0
12-015237,0.622,1.005,1.21,0
12-015242,18.194,0.082,1.21,0
12-015251,7.723,0.785,1.21,0
12-015266,28.005,4.91,1.21,0
12-015270,3.37,0.131,1.21,0
12-015284,14.015,3.759,1.2,0
12-015287,15.747,1.797,1.2,0
12-015291,8.644,1.305,1.2,0
12-015292,9.549,0.76,1.2,0
12-015307,22.764,4.569,1.2,0
12-015313,24.589,1.376,1.2,0
12-015314,5.225,1.215,1.2,0
12-015327,17.868,2.183,1.2,0
12-015329,4.754,2.46,1.2,0
12-015339,9.887,0.019,1.2,0
12-015342,29.009,3.556,1.2,0
12-015356,14.52,0.641,1.2,0
12-015357,19.692,1.584,1.2,0
12-015422,15.886,1.139,1.2,0
12-015424,19.591,3.166,1.2,0
12-015433,7.51,1.11,1.2,0
12-015436,25.316,0.16,1.19,0
12-015445,21.211,2.904,1.19,0
12-015454,19.435,0.694,1.19,0
12-015456,18.722,4.7,1.19,0
12-015458,27.816,0.275,1.19,0
12-015459,26.013,4.949,1.19,0
12-015460,21.175,4.029,1.19,0
12-015469,10.051,3.29,1.19,0
12-015486,19.537,0.145,1.19,0
12-015487,19.493,0.284,1.19,0
12-015496,15.59,1.95,1.19,0
12-015512,3.147,0.228,1.19,0
12-015514,21.081,1.202,1.19,0
12-015520,20.432,0.501,1.19,0
12-015525,22.358,1.043,1.19,0
12-015532,24.326,1.356,1.19,0
12-015537,19.366,0.299,1.19,0
12-015539,9.934,2.506,1.19,0
12-015544,20.741,0.514,1.19,0
12-015547,28.055,2.304,1.19,0
12-015559,4.151,4.9,1.19,0
12-015571,18.026,2.611,1.19,0
12-015579,9.818,2.244,1.19,0
12-015580,20.329,0.842,1.19,0
12-015591,22.352,4.266,1.19,0
12-015599,20.328,0.727,1.18,0
12-015624,16.977,2.112,1.18,0
12-015629,15.191,0.027,1.18,0
12-015641,13.713,4.464,1.18,0
12-015643,3.501,0.703,1.18,0
12-015646,28.07,3.642,1.18,0
12-015650,27.472,1.563,1.18,0
12-015662,17.046,0.148,1.18,0
12-015667,7.614,2.933,1.18,0
12-015668,17.725,3.214,1.18,0
12-015672,19.604,0.716,1.18,0
12-015677,14.42,0.51,1.18,0
12-015682,14.854,4.715,1.18,0
12-015685,22.155,0.748,1.18,0
12-015691,29.527,4.996,1.18,0
12-015706,8.967,4.72,1.18,0
12-015710,23.453,4.604,1.18,0
12-015717,25.521,3.356,1.18,0
12-015720,19.241,0.246,1.18,0
12-015731,23.699,4.296,1.18,0
12-015740,27.156,4.129,1.18,0
12-015743,7.204,1.338,1.18,0
12-015772,17.753,3.288,1.17,0
12-015793,20.134,4.355,1.17,0
12-015799,12.482,2.709,1.17,0
12-015804,5.776,2.124,1.17,0
12-015826,28.512,3.662,1.17,0
12-015833,25.23,3.971,1.17,0
12-015834,12.663,3.444,1.17,0
12-015835,16.059,2.816,1.17,0
12-015862,9.254,0.71,1.17,0
12-015866,19.947,3.25,1.17,0
12-015869,28.56,4.36,1.17,0
12-015873,11.883,4.199,1.17,0
12-015874,26.178,2.609,1.17,0
12-015885,15.496,3.695,1.17,0
12-015897,6.049,1.224,1.17,0
12-015901,24.146,4.493,1.17,0
12-015914,22.461,3.968,1.16,0
12-015924,20.924,0.512,1.16,0
12-015930,9.57,3.675,1.16,0
12-015939,27.395,3.288,1.16,0
12-015942,2.921,0.608,1.16,0
12-015943,20.033,0.643,1.16,0
12-015959,18.96,1.952,1.16,0
12-015964,11.811,4.458,1.16,0
12-015969,19.489,3.898,1.16,0
12-015970,10.522,1.412,1.16,0
12-015979,8.597,4.264,1.16,0
12-015994,25.084,1.838,1.16,0
12-015998,28.358,4.976,1.16,0
12-016004,23.075,0.214,1.16,0
12-016005,27.516,4.45,1.16,0
12-016011,29.42,1.626,1.16,0
12-016023,29.313,0.263,1.16,0
12-016029,18.392,4.756,1.16,0
12-016066,28.923,3.241,1.16,0
12-016067,4.833,1.185,1.16,0
12-016092,29.107,4.578,1.16,0
12-016101,16.52,4.473,1.15,0
12-016104,10.406,2.193,1.15,0
12-016106,20.483,0.755,1.15,0
12-016108,22.825,4.519,1.15,0
12-016113,4.366,3.738,1.15,0
12-016115,17.173,0.801,1.15,0
12-016116,24.823,3.625,1.15,0
12-016127,23.913,4.962,1.15,0
12-016152,19.48,3.613,1.15,0
12-016161,29.633,4.509,1.15,0
12-016167,4.384,1.67,1.15,0
12-016168,9.072,1.064,1.15,0
12-016170,29.238,4.95,1.15,0
12-016173,0.332,3.925,1.15,0
12-016175,27.034,0.579,1.15,0
12-016187,8.678,4.938,1.15,0
12-016188,17.371,0.243,1.15,0
12-016194,27.797,1.805,1.15,0
12-016217,1.909,0.288,1.15,0
12-016242,16.106,2.165,1.15,0
12-016246,16.602,2.074,1.15,0
12-016266,0.087,0.667,1.14,0
12-016274,1.213,0.249,1.14,0
12-016287,19.851,3.559,1.14,0
12-016290,2.805,2.428,1.14,0
12-016291,23.253,1.271,1.14,0
12-016299,6.304,0.075,1.14,0
12-016303,25.249,3.23,1.14,0
12-016313,1.041,0.156,1.14,0
12-016317,21.18,1.197,1.14,0
12-016325,21.921,1.106,1.14,0
12-016340,16.79,4.448,1.14,0
12-016345,10.268,4.842,1.14,0
12-016351,26.383,0.283,1.14,0
12-016359,20.629,0.982,1.14,0
12-016364,18.894,3.595,1.14,0
12-016365,17.521,4.31,1.14,0
12-016371,29.419,0.579,1.14,0
12-016379,29.871,2.384,1.14,0
12-016387,11.6,4.405,1.14,0
12-016390,22.629,4.635,1.14,0
12-016395,20.024,1.784,1.14,0
12-016401,12.985,1.459,1.14,0
12-016403,6.217,3.192,1.14,0
12-016408,6.443,4.332,1.14,0
12-016424,9.34,0.624,1.14,0
12-016426,19.553,0.625,1.14,0
12-016434,12.641,4.313,1.13,0
12-016445,9.631,0.749,1.13,0
12-016446,23.666,0.685,1.13,0
12-016452,5.302,4.509,1.13,0
12-016464,9.149,4.225,1.13,0
12-016471,12.247,2.774,1.13,0
12-016481,21.639,0.958,1.13,0
12-016482,0.327,2.731,1.13,0
12-016484,21.677,3.145,1.13,0
12-016501,26.165,4.139,1.13,0
12-016516,6.611,0.175,1.13,0
12-016549,22.386,1.199,1.13,0
12-016565,16.027,1.841,1.13,0
12-016605,15.535,4.077,1.12,0
12-016621,19.477,0.658,1.12,0
12-016628,28.846,4.741,1.12,0
12-016629,19.322,3.139,1.12,0
12-016632,24.36,0.22,1.12,0
12-016637,8.877,2.906,1.12,0
12-016643,20.117,4.094,1.12,0
12-016644,17.622,4.326,1.12,0
12-016650,19.248,0.466,1.12,0
12-016660,20.944,0.638,1.12,0
12-016668,20.055,1.197,1.12,0
12-016672,29.4,1.731,1.12,0
12-016677,3.441,0.721,1.12,0
12-016681,0.598,2.094,1.12,0
12-016683,25.663,3.369,1.12,0
12-016685,2.955,0.402,1.12,0
12-016710,12.422,1.074,1.12,0
12-016711,21.419,3.744,1.12,0
12-016730,14.044,4.433,1.12,0
12-016746,18.945,4.022,1.12,0
12-016750,5.067,0.276,1.12,0
12-016763,19.971,3.555,1.11,0
12-016764,5.059,4.639,1.11,0
12-016772,16.399,3.247,1.11,0
12-016787,20.754,0.303,1.11,0
12-016804,7.396,3.172,1.11,0
12-016805,5.457,3.939,1.11,0
12-016814,22.508,2.88,1.11,0
12-016828,23.512,2.809,1.11,0
12-016836,19.408,0.711,1.11,0
12-016838,10.532,2.035,1.11,0
12-016855,6.57,3.599,1.11,0
12-016856,11.681,3.533,1.11,0
12-016886,24.759,0.767,1.11,0
12-016911,27.568,4.405,1.11,0
12-016912,13.123,4.847,1.11,0
12-016928,24.389,1.153,1.11,0
12-016930,26.19,0.871,1.11,0
12-016931,5.044,4.718,1.11,0
12-016937,17.804,4.595,1.1,0
12-016938,12.291,0.44,1.1,0
12-016939,28.86,1.021,1.1,0
12-016949,10.937,4.471,1.1,0
12-016953,1.474,1.375,1.1,0
12-016956,17.122,1.802,1.1,0
12-016979,20.506,0.545,1.1,0
12-016980,24.845,1.384,1.1,0
12-016983,26.893,4.789,1.1,0
12-016985,5.286,4.688,1.1,0
12-016992,28.68,1.072,1.1,0
12-017019,8.996,1.51,1.1,0
12-017020,13.154,4.612,1.1,0
12-017022,6.603,2.52,1.1,0
12-017023,28.668,0.113,1.1,0
12-017061,8.287,0.446,1.1,0
12-017082,26.551,4.317,1.1,0
12-017108,9.174,3.103,1.1,0
12-017111,0.854,0.431,1.09,0
12-017120,11.881,2.065,1.09,0
12-017126,9.671,1.024,1.09,0
12-017127,19.005,3.138,1.09,0
12-017142,19.723,2.733,1.09,0
12-017143,8.833,4.167,1.09,0
12-017145,11.001,4.212,1.09,0
12-017158,21.958,4.813,1.09,0
12-017164,16.425,4.983,1.09,0
12-017194,18.72,2.068,1.09,0
12-017198,6.48,0.224,1.09,0
12-017199,11.673,4.738,1.09,0
12-017203,17.409,0.838,1.09,0
12-017204,1.188,3.801,1.09,0
12-017213,23.182,1.088,1.09,0
12-017225,24.539,3.578,1.09,0
12-017231,5.278,2.269,1.09,0
12-017234,27.709,0.525,1.09,0
12-017250,10.097,1.945,1.09,0
12-017266,26.324,0.606,1.09,0
12-017269,22.047,4.713,1.09,0
12-017276,18.901,1.768,1.09,0
12-017280,29.455,3.529,1.09,0
12-017284,5.306,4.623,1.09,0
12-017290,23.641,1.275,1.09,0
12-017295,19.554,1.758,1.08,0
12-017314,20.932,2.479,1.08,0
12-017319,8.927,4.423,1.08,0
12-017322,26.819,1.393,1.08,0
12-017350,24.463,1.142,1.08,0
12-017352,27.855,1.237,1.08,0
12-017354,8.346,4.377,1.08,0
12-017378,18.183,2.318,1.08,0
12-017383,20.38,3.363,1.08,0
12-017405,6.041,1.879,1.08,0
12-017406,15.625,2.63,1.08,0
12-017434,3.637,0.313,1.08,0
12-017435,25,4.101,1.08,0
12-017453,7.967,2.177,1.08,0
12-017463,3.692,0.56,1.07,0
12-017483,19.328,0.096,1.07,0
12-017484,20.207,0.89,1.07,0
12-017495,23.515,1.153,1.07,0
12-017497,21.999,3.704,1.07,0
12-017535,17.634,3.222,1.07,0
12-017558,26.725,0.627,1.07,0
12-017565,19.335,0.26,1.07,0
12-017576,9.145,4.636,1.07,0
12-017591,27.704,0.124,1.07,0
12-017607,12.725,1.021,1.07,0
12-017612,8.609,0.444,1.07,0
12-017613,29.009,2.402,1.07,0
12-017618,28.302,1.357,1.07,0
12-017619,13.684,0.638,1.07,0
12-017641,24.779,1.172,1.07,0
12-017672,6.586,2.146,1.06,0
12-017684,25.846,0.734,1.06,0
12-017694,22.955,4.33,1.06,0
12-017695,24.771,0.118,1.06,0
12-017701,22.983,1.363,1.06,0
12-017704,26.766,2.263,1.06,0
12-017706,6.537,2.91,1.06,0
12-017713,21.331,0.436,1.06,0
12-017724,23.663,1.277,1.06,0
12-017733,20.484,3.662,1.06,0
12-017754,16.098,2.248,1.06,0
12-017757,12.926,3.522,1.06,0
12-017772,17.5,3.361,1.06,0
12-017775,13.753,4.571,1.06,0
12-017784,22.372,0.549,1.06,0
12-017785,26.307,2.089,1.06,0
12-017808,28.123,3.843,1.06,0
12-017811,24.546,3.417,1.06,0
12-017812,16.037,4.006,1.06,0
12-017813,20.863,0.479,1.06,0
12-017822,11.605,4.11,1.06,0
12-017852,21.254,0.409,1.06,0
12-017854,7.225,3.159,1.06,0
12-017872,27.505,4.337,1.05,0
12-017875,29.693,0.958,1.05,0
12-017880,22.155,0.037,1.05,0
12-017886,20.885,3.46,1.05,0
12-017893,16.016,2.465,1.05,0
12-017917,7.386,1.084,1.05,0
12-017921,24.132,1.566,1.05,0
12-017926,8.844,4.696,1.05,0
12-017929,23.564,3.132,1.05,0
12-017931,25.002,4.417,1.05,0
12-017967,19.629,0.672,1.05,0
12-017970,13.446,1.07,1.05,0
12-017973,29.708,1.009,1.05,0
12-017976,26.35,3.598,1.05,0
12-017991,20.787,4.326,1.05,0
12-018000,25.921,0.921,1.05,0
12-018002,9.133,4.955,1.05,0
12-018003,20.423,0.796,1.05,0
12-018004,6.333,1.341,1.05,0
12-018025,21.194,0.644,1.04,0
12-018032,22.294,4.076,1.04,0
12-018046,8.802,1.099,1.04,0
12-018057,6.342,0.914,1.04,0
12-018063,21.949,0.243,1.04,0
12-018071,21.848,1.201,1.04,0
12-018078,29.449,1.244,1.04,0
12-018092,3.894,0.373,1.04,0
12-018095,25.579,2.705,1.04,0
12-018109,21.507,3.533,1.04,0
12-018111,13.399,0.322,1.04,0
12-018163,29.234,3.237,1.04,0
12-018174,17.902,0.645,1.04,0
12-018196,27.582,0.625,1.03,0
12-018200,8.042,4.881,1.03,0
12-018208,19.332,0.422,1.03,0
12-018210,22.956,2.306,1.03,0
12-018212,13.691,1.153,1.03,0
12-018215,20.803,0.007,1.03,0
12-018220,20.535,1.578,1.03,0
12-018234,19.552,4.743,1.03,0
12-018247,10.855,3.169,1.03,0
12-018254,24.585,3.51,1.03,0
12-018257,1.244,4.412,1.03,0
12-018259,26.869,2.34,1.03,0
12-018276,29.974,0.301,1.03,0
12-018284,28.626,3.095,1.03,0
12-018325,24.917,3.31,1.03,0
12-018334,12.624,1.77,1.03,0
12-018343,1.584,4.194,1.03,0
12-018351,21.133,0.301,1.03,0
12-018360,28.523,1.806,1.03,0
12-018364,14.196,0.718,1.03,0
12-018375,20.664,2.144,1.03,0
12-018399,13.092,4.336,1.02,0
12-018407,21.106,3.536,1.02,0
12-018424,4.185,2.426,1.02,0
12-018431,26.862,1.817,1.02,0
12-018432,20.225,3.199,1.02,0
12-018439,3.638,2.523,1.02,0
12-018443,29.42,2.987,1.02,0
12-018450,18.262,3.28,1.02,0
12-018454,28.408,1.013,1.02,0
12-018474,26.333,2.921,1.02,0
12-018493,6.322,1.998,1.02,0
12-018498,18.065,0.75,1.02,0
12-018507,26.491,3.749,1.02,0
12-018514,22.217,4.65,1.02,0
12-018520,7.229,1.84,1.02,0
12-018532,23.552,1.201,1.02,0
12-018533,21.77,1.229,1.02,0
12-018538,22.183,3.448,1.02,0
12-018549,20.265,3.194,1.02,0
12-018552,15.129,3.039,1.02,0
12-018560,16.925,1.176,1.02,0
12-018561,2.365,4.85,1.02,0
12-018568,11.928,0.092,1.02,0
12-018569,20.15,3.993,1.02,0
12-018570,17.902,3.967,1.02,0
12-018581,14.695,4.442,1.01,0
12-018587,26.011,2.838,1.01,0
12-018592,2.274,1.83,1.01,0
12-018597,21.899,2.267,1.01,0
12-018599,0.637,0.994,1.01,0
12-018600,0.434,4.909,1.01,0
12-018602,23.775,0.528,1.01,0
12-018604,25.261,2.258,1.01,0
12-018605,29.848,3.108,1.01,0
12-018612,28.201,0.064,1.01,0
12-018615,22.179,3.96,1.01,0
12-018616,24.475,4.613,1.01,0
12-018634,28.291,3.724,1.01,0
12-018638,26.906,0.137,1.01,0
12-018645,10.534,2.096,1.01,0
12-018651,27.343,3.992,1.01,0
12-018652,21.749,1.853,1.01,0
12-018654,28.865,2.162,1.01,0
12-018674,6.048,0.275,1.01,0
12-018681,1.377,0.399,1.01,0
12-018710,20.714,3.531,1.01,0
12-018718,20.45,3.227,1.01,0
12-018724,26.743,0.156,1.01,0
12-018732,22.166,2.846,1.01,0
12-018734,29.941,4.12,1.01,0
12-018744,22.432,4.525,1.01,0
12-018762,22.268,3.102,1.01,0
